City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
266,Mae Sai,TH,20.4335,99.8762,69.94,97,65,1.39,broken clouds
267,Igarka,RU,67.4667,86.5833,15.87,94,99,15.37,light snow
268,Cruzeiro Do Sul,BR,-29.5128,-51.9853,70.5,86,71,1.99,broken clouds
269,Tosno,RU,59.54,30.8775,41.72,93,88,3.36,overcast clouds
270,Toora-Khem,RU,52.4675,96.11,40.66,73,100,3.27,overcast clouds
271,Soavinandriana,MG,-19.1667,46.7333,59.9,93,82,4.61,broken clouds
272,Pelym,RU,61.0108,61.9978,23.92,97,67,2.89,broken clouds
273,Itapira,BR,-22.4361,-46.8217,63.95,83,37,5.03,scattered clouds
274,Sitka,US,57.0531,-135.33,51.69,25,75,14.97,broken clouds
275,Orange Cove,US,36.6244,-119.3137,79.81,26,100,5.48,overcast clouds
276,Coahuayana,MX,18.7333,-103.6833,85.15,57,73,6.62,broken clouds
277,Saint-Philippe,RE,-21.3585,55.7679,76.59,87,31,11.41,scattered clouds
278,Puerto Quijarro,BO,-17.7833,-57.7667,77.43,47,2,3.06,clear sky
279,Arraial Do Cabo,BR,-22.9661,-42.0278,72.45,76,3,8.61,clear sky
280,Varhaug,NO,58.6147,5.6457,47.48,57,0,15.1,clear sky
281,Linden,GY,6.0,-58.3,74.07,92,99,4.97,overcast clouds
282,Bilma,NE,18.6853,12.9164,79.2,18,73,13.0,broken clouds
283,Torbay,CA,47.6666,-52.7314,35.28,87,100,19.57,light shower snow
284,Bengkulu,ID,-3.8004,102.2655,75.34,83,99,3.56,overcast clouds
285,Jacqueville,CI,5.2052,-4.4146,77.43,88,100,7.36,light rain
286,Takoradi,GH,4.8845,-1.7554,78.89,81,100,3.4,overcast clouds
287,Tosya,TR,41.0155,34.0401,49.15,86,8,4.05,clear sky
288,Padang,ID,-0.9492,100.3543,75.25,87,100,4.41,overcast clouds
289,Athabasca,CA,54.7169,-113.2854,46.81,53,100,13.29,overcast clouds
290,Laguna,US,38.421,-121.4238,73.08,41,40,16.11,scattered clouds
291,Najran,SA,17.4924,44.1277,70.45,24,0,2.68,clear sky
292,Tomatlan,MX,19.9333,-105.25,85.08,53,36,8.75,scattered clouds
293,Marsh Harbour,BS,26.5412,-77.0636,77.22,72,84,4.09,broken clouds
294,Weligama,LK,5.9667,80.4167,79.11,85,94,8.37,overcast clouds
295,Frederico Westphalen,BR,-27.3592,-53.3944,59.07,83,1,2.75,clear sky
296,Palu,ID,-0.8917,119.8707,77.32,93,67,3.24,broken clouds
297,Verkhnevilyuysk,RU,63.4453,120.3167,21.34,93,100,10.04,light snow
298,La Plaine,DM,15.3333,-61.25,78.44,81,96,18.19,overcast clouds
299,Pontianak,ID,-0.0333,109.3333,75.18,94,75,4.61,broken clouds
300,Kamina,CD,-8.7386,24.9906,64.44,94,19,3.38,few clouds
301,Silvania,BR,-16.6589,-48.6081,70.02,56,14,4.03,few clouds
302,Belyy Yar,RU,53.6039,91.3903,34.86,93,75,8.95,light shower sleet
303,Kirakira,SB,-10.4544,161.9205,83.3,73,100,5.53,overcast clouds
304,Pemba,MZ,-12.974,40.5178,77.7,94,75,8.05,broken clouds
305,Terra Rica,BR,-22.7094,-52.6169,66.11,71,28,5.5,scattered clouds
306,Vanimo,PG,-2.6741,141.3028,81.05,81,100,2.44,overcast clouds
307,Ghanzi,BW,-21.5667,21.7833,63.73,52,0,8.48,clear sky
308,Hervey Bay,AU,-25.2986,152.8535,76.01,72,19,5.99,few clouds
309,Tomelloso,ES,39.1522,-3.0243,61.52,69,41,7.14,scattered clouds
310,Pangody,RU,65.85,74.4859,7.48,95,81,10.29,broken clouds
311,Rocha,UY,-34.4833,-54.3333,62.64,80,65,7.54,broken clouds
312,Antofagasta,CL,-23.65,-70.4,61.88,85,2,2.8,clear sky
313,Taguatinga,BR,-12.3857,-46.5711,73.2,86,84,6.04,broken clouds
314,Ravar,IR,31.2656,56.8055,56.75,38,1,1.7,clear sky
315,Pisco,PE,-13.7,-76.2167,66.25,82,0,13.8,clear sky
316,Kindu,CD,-2.95,25.95,69.75,100,98,2.51,moderate rain
317,Tocopilla,CL,-22.092,-70.1979,63.75,69,14,3.44,few clouds
318,Kalabo,ZM,-14.97,22.6814,67.62,78,71,4.5,broken clouds
319,Itoman,JP,26.1247,127.6694,70.57,81,75,6.91,broken clouds
320,Salalah,OM,17.0151,54.0924,82.49,78,75,4.61,broken clouds
321,Seoul,KR,37.5683,126.9778,53.17,66,0,4.61,clear sky
322,Sept-Iles,CA,50.2001,-66.3821,35.06,68,20,4.61,few clouds
323,Auki,SB,-8.7676,160.7034,84.06,67,34,3.31,scattered clouds
324,Alyangula,AU,-13.8483,136.4192,82.27,89,75,3.44,broken clouds
325,Virginia Beach,US,36.8529,-75.978,64.45,94,100,10.36,mist
326,Lufilufi,WS,-13.8745,-171.5986,86.79,73,36,16.11,light rain
327,Balkhash,KZ,46.844,74.9804,57.29,45,97,13.2,overcast clouds
328,Marang,MY,5.2056,103.2059,78.71,85,100,1.1,overcast clouds
329,Alice Springs,AU,-23.7,133.8833,63.95,68,40,14.97,scattered clouds
330,Kutum,SD,14.2,24.6667,83.43,20,100,12.62,overcast clouds
331,Teeli,RU,51.0333,90.2333,48.22,27,100,3.71,overcast clouds
332,Yaan,NG,7.3833,8.5667,83.14,67,100,6.15,overcast clouds
333,Portland,US,45.5234,-122.6762,52.05,90,100,10.36,light rain
334,Pokrovka,KG,42.3414,78.0056,51.51,42,79,7.72,broken clouds
335,Tura,IN,25.5198,90.2201,67.86,90,0,3.4,clear sky
336,Serro,BR,-18.6047,-43.3794,65.44,86,91,3.58,overcast clouds
337,Caravelas,BR,-17.7125,-39.2481,76.86,68,38,9.89,scattered clouds
338,Batasan,PH,12.7667,120.7833,79.29,68,2,3.6,clear sky
339,Iralaya,HN,15.0,-83.2333,81.7,67,2,12.06,clear sky
340,Zheleznodorozhnyy,RU,55.7503,38.0042,41.61,78,97,7.11,overcast clouds
341,Bowen,AU,-20.0167,148.2333,76.41,78,8,12.33,clear sky
342,Makakilo City,US,21.3469,-158.0858,82.72,46,0,13.8,clear sky
343,Hofn,IS,64.2539,-15.2082,43.07,81,100,10.74,light rain
